epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.495,1.54286,4.35192,1.10972,0.12505,0.31232,0.13632,0.07677,1.51625,2.53245,1.05675,5.95935e-05,5.95935e-05,5.95935e-05
2,968.839,1.32363,2.61398,1.03833,0.56316,0.72883,0.68116,0.50046,0.96559,1.36279,0.92709,0.000115325,0.000115325,0.000115325
3,1433.62,1.26396,1.75487,1.03403,0.888,0.89597,0.95845,0.72215,0.91033,0.8306,0.91649,0.000167118,0.000167118,0.000167118
4,1901.05,1.23207,1.29024,1.03087,0.96254,0.96613,0.99011,0.76853,0.87671,0.62196,0.91323,0.000161279,0.000161279,0.000161279
5,2373.25,1.21017,1.05322,1.03074,0.98605,0.98792,0.99387,0.73338,1.02608,0.57652,0.95984,0.000155372,0.000155372,0.000155372
6,2833.37,1.19443,0.93131,1.03235,0.99081,0.98974,0.99456,0.78087,0.85972,0.49604,0.91852,0.000149465,0.000149465,0.000149465
7,3292.23,1.18166,0.84635,1.02888,0.99312,0.9953,0.99461,0.77111,0.89548,0.47077,0.92626,0.000143558,0.000143558,0.000143558
8,3753.99,1.17444,0.79458,1.0299,0.99569,0.99594,0.99475,0.79616,0.80931,0.44074,0.90244,0.000137651,0.000137651,0.000137651
9,4212.59,1.16647,0.75287,1.02687,0.99583,0.997,0.99491,0.81281,0.76329,0.41085,0.89004,0.000131744,0.000131744,0.000131744
10,4667.54,1.15798,0.71678,1.02673,0.99597,0.99657,0.99492,0.79694,0.82533,0.40521,0.9057,0.000125837,0.000125837,0.000125837
11,5128.88,1.15418,0.68816,1.02617,0.99684,0.99758,0.99485,0.78583,0.85971,0.40659,0.91622,0.00011993,0.00011993,0.00011993
12,5592.76,1.14917,0.67165,1.02326,0.99745,0.99854,0.99491,0.79145,0.84261,0.39216,0.90897,0.000114023,0.000114023,0.000114023
13,6053.6,1.1433,0.65322,1.02236,0.99805,0.99888,0.995,0.80408,0.80076,0.37663,0.89618,0.000108116,0.000108116,0.000108116
14,6512.23,1.13808,0.63619,1.01973,0.99802,0.99851,0.99494,0.80255,0.79698,0.37616,0.8922,0.000102209,0.000102209,0.000102209
15,6969.77,1.13704,0.62241,1.02085,0.99822,0.99878,0.99498,0.82223,0.73205,0.35986,0.87826,9.6302e-05,9.6302e-05,9.6302e-05
16,7430.02,1.12995,0.61294,1.01748,0.99837,0.99866,0.99493,0.81854,0.75578,0.35502,0.88477,9.0395e-05,9.0395e-05,9.0395e-05
17,7892.3,1.12572,0.60309,1.01842,0.99828,0.99881,0.99486,0.81437,0.77406,0.3548,0.88861,8.4488e-05,8.4488e-05,8.4488e-05
18,8347.96,1.12219,0.59246,1.01504,0.99842,0.99914,0.99499,0.80961,0.79042,0.35353,0.89198,7.8581e-05,7.8581e-05,7.8581e-05
19,8805.57,1.11672,0.58175,1.01063,0.99844,0.99917,0.99496,0.81826,0.76413,0.34767,0.88445,7.2674e-05,7.2674e-05,7.2674e-05
20,9263.81,1.10855,0.57503,1.00877,0.99878,0.99923,0.99499,0.8201,0.7564,0.34359,0.88271,6.6767e-05,6.6767e-05,6.6767e-05
21,9706.59,1.11558,0.47127,1.07393,0.99867,0.999,0.99492,0.8216,0.74681,0.34614,0.88337,6.086e-05,6.086e-05,6.086e-05
22,10144.4,1.10246,0.46215,1.06877,0.99868,0.99913,0.99493,0.82082,0.75192,0.34266,0.88444,5.4953e-05,5.4953e-05,5.4953e-05
23,10581.7,1.0947,0.457,1.06566,0.99896,0.99944,0.99493,0.8237,0.74651,0.34153,0.88188,4.9046e-05,4.9046e-05,4.9046e-05
24,11020.4,1.07937,0.45,1.05937,0.99892,0.99934,0.99495,0.82634,0.74043,0.33855,0.87982,4.3139e-05,4.3139e-05,4.3139e-05
25,11451.2,1.07025,0.44491,1.05575,0.99864,0.99933,0.99495,0.82543,0.74598,0.34041,0.88113,3.7232e-05,3.7232e-05,3.7232e-05
26,11883.6,1.06063,0.44185,1.04978,0.99872,0.9991,0.99494,0.82555,0.74556,0.33793,0.87994,3.1325e-05,3.1325e-05,3.1325e-05
27,12316.2,1.05625,0.43683,1.04837,0.99892,0.99919,0.99496,0.8251,0.74852,0.33492,0.87976,2.5418e-05,2.5418e-05,2.5418e-05
28,12747.1,1.05154,0.43475,1.045,0.99881,0.99945,0.99496,0.82673,0.74251,0.33445,0.87788,1.9511e-05,1.9511e-05,1.9511e-05
29,13184.4,1.04717,0.42752,1.04471,0.99888,0.99941,0.99495,0.82955,0.73456,0.33185,0.87621,1.3604e-05,1.3604e-05,1.3604e-05
30,13621.2,1.04434,0.42648,1.04412,0.9989,0.99949,0.99495,0.82765,0.74062,0.33312,0.87686,7.697e-06,7.697e-06,7.697e-06
